,Postcode,Commune,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80_84,age85_89,age90_94,age95_99,age100_and_over,Total
0,1050,København K ,0,0,0,1,3,0,0,0,3,2,0,1,0,1,3,1,2,0,0,0,0,17
1,1051,København K ,12,8,10,19,51,52,52,32,14,25,27,32,17,22,14,16,15,6,1,0,0,425
2,1052,København K ,17,17,15,18,52,39,35,22,18,32,26,21,20,21,14,15,12,3,3,0,0,400
3,1053,København K ,10,6,4,7,9,30,20,22,20,14,21,37,33,24,29,12,5,2,0,0,0,305
4,1054,København K ,24,20,14,11,35,49,40,21,18,27,26,38,22,15,17,15,7,1,1,0,0,401
5,1055,København K ,22,13,12,16,32,37,30,18,19,27,25,22,13,23,13,12,8,1,0,1,0,344
6,1056,København K ,0,0,7,0,0,0,1,1,1,6,6,10,3,4,3,3,5,2,0,0,0,52
7,1057,København K ,9,17,8,21,18,33,24,18,15,17,20,24,12,17,16,14,9,1,1,0,0,294
8,1058,København K ,11,10,12,15,8,14,10,17,14,11,15,15,9,10,8,15,8,3,1,0,0,206
9,1059,København K ,0,0,0,3,4,0,0,3,1,1,2,1,0,1,0,2,0,0,0,0,0,18
10,1061,København K ,0,2,1,0,1,3,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,13
11,1062,København K ,0,0,0,1,0,8,2,0,0,0,2,3,0,1,0,1,3,0,0,0,0,21
12,1063,København K ,8,1,2,1,12,29,13,6,8,4,7,5,7,1,3,1,3,1,0,0,0,112
13,1064,København K ,0,0,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8
14,1065,København K ,0,0,0,0,3,7,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16
15,1066,København K ,4,0,2,4,9,15,4,2,4,6,1,2,4,2,1,1,2,0,0,0,0,63
16,1067,København K ,4,4,3,3,10,17,15,8,6,5,4,7,2,1,1,3,1,0,0,1,0,95
17,1068,København K ,1,0,0,0,7,4,1,3,2,3,4,3,5,1,4,3,0,2,0,0,0,43
18,1069,København K ,2,0,1,5,5,6,4,1,1,4,1,4,2,0,2,2,1,1,1,0,0,43
19,1070,København K ,3,2,0,1,2,13,5,3,5,3,4,2,3,1,3,4,1,0,0,0,0,55
20,1071,København K ,3,1,1,0,2,14,8,4,2,4,3,1,2,1,1,2,3,2,1,0,0,55
21,1072,København K ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4
22,1073,København K ,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
23,1074,København K ,0,0,1,0,3,5,2,1,1,1,1,1,2,0,0,0,1,0,0,0,0,19
24,1100,København K ,0,0,1,1,2,6,2,0,4,2,2,1,2,1,0,1,0,0,0,0,0,25
25,1101,København K ,0,2,1,5,7,5,7,3,2,5,9,8,7,5,1,4,0,0,1,0,0,72
26,1102,København K ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,1103,København K ,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
