NOAA nClimGrid 2m Temperature (deg F) for US
Original data from NOAA Climate at a Glance https://www.ncdc.noaa.gov/cag/
This file was generated using Climate Reanalyzer (https://ClimateReanalyzer.org); 
Climate Change Institute; University of Maine; USA (https://climatechange.umaine.edu)
----------------------------------------------------------------------------------------------------------
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann,DJF,MAM,JJA,SON,Ann_D-N,Ann_NO,Ann_OS,NDJFM,MJJAS
1895,26.7,26.6,40.0,52.9,59.9,67.8,71.2,71.6,65.6,50.8,39.2,31.7,50.3,-999,50.9,70.2,51.9,-999,-999,-999,-999,67.2
1896,31.5,35.0,38.0,52.3,62.5,69.9,73.7,72.3,62.9,51.9,38.3,35.5,52.0,32.7,50.9,71.9,51.1,51.7,51.7,51.7,35.1,68.2
1897,28.2,33.4,38.8,51.2,61.2,68.1,73.4,71.3,66.4,55.1,40.9,30.8,51.6,32.4,50.4,70.9,54.1,52.0,51.7,51.5,34.8,68.1
1898,30.7,35.4,41.0,50.8,59.9,69.3,73.3,72.8,65.5,51.5,38.4,28.7,51.4,32.3,50.6,71.8,51.8,51.6,51.8,52.1,35.8,68.2
1899,29.7,25.5,37.6,50.6,59.9,68.7,73.1,71.7,64.8,54.0,44.9,31.6,51.0,27.9,49.4,71.2,54.6,50.8,50.2,50.0,32.0,67.6
1900,34.1,30.8,41.3,51.6,61.7,70.3,73.1,72.9,65.1,56.3,41.5,34.5,52.8,32.2,51.5,72.1,54.3,52.5,52.8,52.6,36.5,68.6
1901,31.6,29.9,40.7,49.4,61.2,68.4,76.2,73.2,63.2,55.5,41.7,31.5,51.9,32.0,50.4,72.6,53.5,52.1,52.1,52.2,35.6,68.5
1902,30.1,31.5,41.6,50.8,62.0,68.0,72.1,71.4,62.8,54.4,43.7,30.8,51.6,31.0,51.5,70.5,53.6,51.6,51.5,51.6,35.3,67.2
1903,30.9,28.4,42.2,50.2,59.5,65.9,71.9,71.0,62.7,53.9,40.2,30.5,50.6,30.0,50.7,69.6,52.3,50.6,50.9,51.0,35.2,66.2
1904,27.5,31.6,41.8,49.5,60.1,67.3,71.3,70.7,65.0,53.9,43.1,32.0,51.2,29.9,50.5,69.8,54.0,51.0,50.8,50.8,34.3,66.9
1905,27.1,26.9,45.1,50.5,59.1,68.0,72.0,72.4,65.9,51.6,42.2,31.0,51.0,28.7,51.6,70.8,53.3,51.1,51.2,51.3,34.9,67.5
1906,32.9,33.7,36.1,52.7,59.6,67.3,72.4,71.8,66.2,52.5,40.4,35.0,51.7,32.5,49.5,70.5,53.1,51.4,51.5,51.5,35.2,67.5
1907,30.7,35.5,45.7,47.5,55.9,65.7,72.5,70.8,64.2,53.8,40.8,34.7,51.5,33.7,49.7,69.7,52.9,51.5,51.5,51.4,37.5,65.8
1908,32.5,33.0,43.9,52.8,58.8,66.9,73.2,70.7,65.6,51.8,42.5,33.3,52.1,33.4,51.8,70.3,53.3,52.2,52.0,52.2,37.0,67.0
1909,32.3,35.0,40.3,49.0,58.1,68.9,72.6,72.9,64.4,52.9,45.0,25.6,51.4,33.5,49.1,71.5,54.1,52.1,51.9,51.8,36.7,67.4
1910,29.6,29.3,49.4,53.6,59.2,68.3,74.1,71.1,65.7,55.6,41.1,31.9,52.4,28.2,54.1,71.2,54.1,51.9,52.2,52.0,35.8,67.7
1911,32.9,33.7,44.0,50.0,61.2,70.8,72.7,70.9,66.1,52.7,37.3,32.2,52.0,32.8,51.7,71.4,52.0,52.0,52.3,52.6,36.7,68.3
1912,24.8,31.1,35.8,50.6,60.5,66.7,72.2,70.1,62.7,53.2,42.2,33.0,50.2,29.3,48.9,69.7,52.7,50.2,49.8,49.7,32.2,66.5
1913,30.5,29.5,38.7,51.4,60.1,68.2,73.0,73.4,63.6,51.6,45.1,33.3,51.5,31.0,50.1,71.5,53.5,51.5,51.3,51.4,34.8,67.7
1914,34.5,29.5,40.8,51.0,61.1,69.3,74.1,71.7,64.6,55.2,43.4,26.8,51.8,32.5,51.0,71.7,54.4,52.4,52.5,52.2,36.6,68.2
1915,28.4,35.9,37.0,54.6,58.2,66.1,71.0,70.2,64.4,55.3,43.1,33.2,51.4,30.4,49.9,69.1,54.3,50.9,50.9,50.9,34.3,66.0
1916,28.2,33.0,42.2,50.2,59.3,66.3,74.3,71.8,63.5,52.1,40.2,28.9,50.8,31.5,50.6,70.8,52.0,51.2,51.4,51.7,35.9,67.0
1917,28.3,30.1,38.3,48.6,55.1,67.0,74.6,71.0,64.1,50.4,43.5,29.6,50.1,29.1,47.4,70.9,52.7,50.0,49.7,49.9,33.2,66.4
1918,23.9,33.8,45.8,49.0,60.8,71.2,72.4,72.5,61.9,56.2,40.5,34.5,51.9,29.1,51.9,72.0,52.9,51.5,51.7,51.2,35.3,67.8
1919,31.8,32.2,40.9,51.3,60.0,69.3,74.3,72.3,65.6,52.6,39.3,28.8,51.5,32.8,50.8,72.0,52.5,52.0,52.1,52.4,36.0,68.3
1920,29.2,33.7,40.3,46.8,59.3,67.4,72.7,70.6,65.4,54.6,39.7,33.1,51.1,30.6,48.8,70.2,53.3,50.7,50.7,50.5,34.3,67.1
1921,34.4,36.9,46.6,51.0,60.1,70.4,74.7,72.0,66.5,55.3,42.6,35.1,53.8,34.8,52.6,72.3,54.8,53.6,53.4,53.3,38.1,68.7
1922,26.8,32.0,40.4,50.3,61.2,70.1,73.0,72.8,67.3,55.0,41.9,33.5,52.0,31.3,50.6,72.0,54.7,52.2,52.2,52.2,35.4,68.9
1923,34.6,29.6,38.3,49.9,59.5,68.0,73.8,71.1,65.1,51.2,42.6,36.0,51.6,32.6,49.2,71.0,53.0,51.4,51.4,51.7,35.6,67.5
